gloss	Definitions
документ , содержащий такое предложение в письменном виде	официально оформленное письмо, бумаго, обращение с предложением посетиться, посетиться куда-либо
уничиж . от имени Прохор	мужское имя
нагрудный доспех	часть одежды, защищающая грудь от ударов, порезов и т. п.
причудливые , фантастические события , происшествия	театр. спектакль, в котором действие, изображённое в спектаклях, является фантастическим
группа системных заболеваний , заключающихся в пороке развития кровеносных сосудов организма и характеризующихся их аномальным увеличением и разрастанием опухолевидного типа	мед. увеличение кровеносных сосудов
нареч . к насильственный ; осуществляя путём насилия , принуждения	нареч. к насильственный ; с помощью силы, насилием
перен. , разг . привлечь к участию в чем-либо , вовлечь во что-либо	комп. прикрепив к компьютеру, подключив к нему
представитель кочевого народа центрально-азиатского происхождения	истор. представитель одного из племен, относящихся к племени обров
техн . электромеханическое , пневматическое , гидравлическое устройство или их комбинация , предназначенное для замены человека в промышленности , опасных средах и др .	техн. человекоподобный или искусственно создаваемый человекоподобный объект
нижний край платья , юбки , пальто и т. п .	устар. и диал. длинная, широкая, обычно длинная, длинная, обычно длинная, длинная, обычно длинная, обычно длинная 
архит . криволинейное перекрытие , соединяющее две стены , опоры какого-нибудь сооружения	рельефная фигура, изображающая, как правило, кого-либо, что-либо
одуш . человек , пострадавший или погибший во имя чего-либо , вследствие преданности чему-либо , кому-либо	перен. тот, кто подвергся чему-либо нежелательному, плохому, угрожающем его жизни
сделать хорошо видимым внутреннее содержание , структуру с помощью подсветки ; проверить или исследовать с помощью лучей	перен. осмотреть, просвечив, осмотреть, просвечивать
прост . примеривать , часто наскоро ( одежду , головной убор и т . п . )	кидая, накладывая, прикреплять, прикреплять, прикреплять, прикреплять, прикреплять
перен . атмосфера нежилого места	энтомол. ; хищная птицa семейства ястребиных
ставший толстым , толще , утолстившийся	имеющий большую толщину, толщину, имеющий большую толщину
только полн . форма находящийся , имеющий место на поверхности , у поверхности чего-либо , предназначенный для использования на поверхности	расположеный на поверхности чего-либо
имеющий яйцеобразную , то есть округлую и несколько вытянутую форму	имеющий форму овца, овца
крим . жарг . обыск	крим. жарг. обыск, арест
полезный для дела	разг. достойно занимательный, деловой
полоска шёлковой ткани определённого цвета и размера для ношения орденского знака или служащая знаком отличия вместо соответствующего ордена	устар. длинная, широкая, обычно длинная, обычно длинная, обычно длинная, обычно длинная, обычно длинная, обычно длинная 
психол . явление зрительного восприятия в виде образа , возникающего после рассмотрения некоего объекта при строго фиксированном взгляде	психол. часть, часть чего-либо, являющаяся результатом чего-либо, протекающая после экспонирования
место для причаливания и стоянки судов	место, где можно пристать к судну или к чему-либо
книжн . вызванный внутренними факторами , появившийся в силу внутренних причин	книжн. происходящей внутренне, возникающий в пределах какого-либо сообщества, общества
отличающийся положительными качествами ; порядочный	обладающий добропорядочностью, порядочностью
грубо , порывисто , с прямотой , нелицеприятно	перен. о ком-либо, чём-либо выражая сильное несогласие, неодобрение
о птицах : имеющий хохолок на голове .	о птицах : о хвосте, о яйце : о птицах : о яйце, о хвосте : о птицах : о яйце, о хвост
перен . прост . ругать , поносить	перен., разг. вести себя погано, вести себя нечисто, нечистосердечно
разг . вносить вклад , делать взносы	перен. приводять в высшую степень, поднимать, поднимать
относящийся к юристам , а также к изучению правоведения , юриспруденции	относящийся к праву, закону, к правовой системе
органическое соединение класса гетероциклов , пятичленный цикл с двумя атомами азота и тремя атомами углерода в цикле , изомерен пиразолу	ароматический гетероцикл с двумя гетероатомами
( у покрытосеменных растений ) внутренний слой клеток ( или несколько слоёв ) пыльника	лингв. часть речи, выражающая действие или состояние, выраженное словом
мифол . женск . к демон ; демоническое существо женского пола	женск. к демон
женск . к атеист	женск. к атеист
матем . решение уравнений поля в некоторых теориях поля в 1+1 измерениях , интерполирующее между двумя вакуумами при изменении пространственной координаты от -∞ до +∞ ?	спорт. действие по значению гл. кинкать ; движение вверх, обычно в ходе спортивной тренировки
ограждать от каких-либо враждебных действий , неблагоприятного , вредного воздействия , влияния ; охранять , оберегать	ограждать, предохранять от чего-либо
перен . лицемерный , неискренний	перен., разг. склонный к двуличному поступку ; лицемерный, хитрый
юридическая наука о методах расследования преступлений , собирания и исследования судебных доказательств	наука о преступлениях, о преступлениях и их расследовании
мужское имя	мужское имя
привести в крайнее расстройство ; потрясти	перен., разг. сильно утомив, утомиться, утомиться
издохший , палый , мёртвый ( о животном )	о животных : мертвый, мёртвый
сравн . ст . к нареч . мило	сравнительная степень прилагательного милый
устар . встреча	церк. действие по значению гл. срещать, срещаться ; встреча, встречаться
псевдоним	фамилия
процесс приобретения формы	действие по значению гл. формовать
глава нома — одной из существовавших до 2011 года административных единиц Греции второго уровня	полит. в Греции — губернатор области
