cluster	gloss
0	the action of accomplishing something
1	not characteristic of or befitting a profession or one engaged in a profession
2	a matter already settled in court; cannot be raised again
3	a particular course of action intended to achieve a result
4	being or occurring in fact or actuality; having verified existence; not illusory; ; ; ; ; ; - Longfellow
5	a particular course of action intended to achieve a result
6	a fact about the whole (as opposed to particular)
7	(usually followed by `to') having the necessary means or skill or know-how or authority to do something
8	a relation implicated by virtue of involvement or close connection (especially an incriminating involvement)
9	a business especially one run on a large scale
10	a broad range of related objects or values or qualities or ideas or activities
