cluster	gloss
-1	a particular course of action intended to achieve a result
0	tending to cure or restore to health
1	ideas or actions intended to deal with a problem or situation
2	tending to cure or restore to health
3	a way of regarding situations or topics etc.
4	a specialized sphere of knowledge
5	a social system that provides separate facilities for minority groups
6	be bossy towards
7	be bossy towards
8	a branch of symbolic logic dealing with propositions as units and with their combinations and the connectives that relate them
9	a special variety of domesticated animals within a species
10	a way of acting or behaving
11	a way of doing or being
12	a feature (as a pronunciation or expression or custom) that is characteristic of a particular region
13	medical practice that provides health care regardless of age or sex while placing emphasis on the family unit
14	a particular course of action intended to achieve a result
15	considerate and solicitous care
16	a perceptual structure
17	(medicine) a systematic plan for therapy (often including diet)
18	a conclusive resolution of a matter and disposition of it
19	a remedy (drug or therapy or preventive) that cures or prevents a disease
20	a particular perspective or aspect of a situation
21	branch of medicine concerned with the treatment of disease
22	a health facility where patients receive treatment
23	a program for restoring someone to good health
24	a health facility where patients receive treatment
25	a program for restoring someone to good health
26	(of circumstances) tending to constrict freedom
27	(medicine) the act of caring for someone (as by medication or remedial training etc.)
28	a licensed medical practitioner
29	a particular perspective or aspect of a situation
30	an unofficial vote taken to determine opinion on some issue
31	a judicial proceeding brought by one party against another; one party prosecutes another for a wrong done or for protection of a right or for prevention of a wrong
