cluster	gloss
-1	a trophy made of bronze (or having the appearance of bronze) that is usually awarded for winning third place in a competition
0	round object that is hit or thrown or kicked in games
1	a formal party of people; as after a wedding
2	(of a bullet) made of soft material that expands on impact
3	a projectile with a straight thin shaft and an arrowhead on one end and stabilizing vanes on the other; intended to be shot from a bow
4	a large dark-red oval organ on the left side of the body between the stomach and the diaphragm; produces cells involved in immune responses
5	a mechanism in a firearm that pulls an empty shell case out of the chamber and passes it to the ejector
6	a belt-fed machine gun capable of firing more than 500 rounds per minute; used by United States troops in World War II and the Korean War
7	(boxing) a victory won on points when no knockout has occurred
8	a mechanism in a firearm that pulls an empty shell case out of the chamber and passes it to the ejector
9	a score in American football; being in possession of the ball across the opponents' goal line
10	a ball game played with a bat and ball between two teams of nine players; teams take turns at bat trying to score runs
11	animation and energy in action or expression
12	(baseball) a ball struck with the bat so that it does not stay between the lines (the foul lines) that define the width of the playing field
13	of or relating to the palm of the hand or to the area at the base of the thumb
14	a ball game played with a bat and ball between two teams of nine players; teams take turns at bat trying to score runs
15	a large dark-red oval organ on the left side of the body between the stomach and the diaphragm; produces cells involved in immune responses
16	a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb
