cluster	gloss
-1	either extremity of something that has length
0	either extremity of something that has length
1	the quality of being at a competitive advantage
2	position of advantage and control
3	a stage of technological development or innovation
4	a component of a mixture that has been separated by a fractional process
5	a drawback or difficulty that is not readily evident
6	a point located with respect to surface features of some region
7	a degree in a continuum of size or quantity
8	a mechanism in a firearm that pulls an empty shell case out of the chamber and passes it to the ejector
9	(geometry) a straight line connecting any two vertices of a polygon that are not adjacent
10	a relatively narrow strip of land projecting from some larger area
11	in or to a place that is lower
12	position of advantage and control
13	the highest point of anything conceived of as growing or developing or unfolding
14	an advantage held by a competitor in a race
