cluster	gloss
-1	the middle region of the body of an arthropod between the head and the abdomen
0	the upper part of the human body or the front part of the body in animals; contains the face and brains
1	someone authorized to exercise the powers of sheriff in emergencies
2	being or located on or directed toward the side of the body to the west when facing north
3	a chain formerly worn at the waist by women; for carrying a purse or bunch of keys etc.
4	a defensive effort
5	a brief abstract (as of an article or book)
6	a rounded part of a cylindrical instrument (usually at one end)
7	conclusive in a process or progression
8	(usually plural) a part of a fruit or vegetable that is pared or cut off; especially the skin or peel
9	relating to or situated in or extending toward the middle
