cluster	gloss
0	have as a part, be made up out of
1	share in something
2	a secondary role or function
3	related or limited to a distinct region or subdivision of a territory or community or group of people
4	a part of a part
5	a personal or social separation (as between opposing factions)
6	a tenth part; one part in ten equal parts
7	departing or being caused to depart from the true vertical or horizontal
8	an abstract part of something
9	a distinct region or subdivision of a territorial or political area or community or group of people
10	a brief section of a literary or dramatic work that forms part of a connected series
11	a duty that is incumbent upon you
12	a duty that is incumbent upon you
13	a collection of works (plays, songs, operas, ballets) that an artist or company can perform and do perform for short intervals on a regular schedule
14	a clause that is appended to a legislative bill
15	a population that is part of a larger population
