cluster	gloss
0	take hold of so as to seize or restrain or stop the motion of
1	scoop up by plunging one's hand or a ladle below the surface
2	pick out, select, or choose from a number of alternatives
3	take hold of so as to seize or restrain or stop the motion of
4	encounter by chance
5	pick personally and very carefully
6	(biology) a group of organisms forming a subdivision of a larger category
7	an abusive attack on a person's character or good name
8	a search for an alternative that meets cognitive criteria
9	an alert and refreshed state
10	get worse or fall back to a previous condition
11	cut or remove with or as if with a plane
12	act in a certain way so as to acquire
13	separate or cut with a tool, such as a sharp instrument
14	a selection or decision purely at random
15	being searched for
16	go or come after and bring or take back
17	a collection of things that have been combined; an assemblage of separate parts or qualities
18	go or come after and bring or take back
19	get into one's hands, take physically
20	by selection; in a selective manner
21	hit with the fist
22	separate or cut with a tool, such as a sharp instrument
23	go or come after and bring or take back
24	remove something concrete, as by lifting, pushing, or taking off, or remove something abstract
25	move (one's fist)
26	come into possession of
27	intelligence of all types and forms of immediate interest; usually disseminated without delays for evaluation or interpretation
28	come into possession of
29	demand payment
30	accompany as an escort
31	cause to appear
32	again but in a new or different way
33	give a passenger or a hitchhiker a lift
34	come into possession of
35	get into one's hands, take physically
36	ask to obtain free
37	get by special effort
38	engage in a brief and petty quarrel
