cluster	gloss
-1	a belt-fed machine gun capable of firing more than 500 rounds per minute; used by United States troops in World War II and the Korean War
0	touching something with the fingers
1	a periodic motion in which the displacement is either symmetrical about a point or is the sum of such motions
2	a combination of points and lines and planes that form a visible palpable shape
3	(physics) force that produces strain on a physical body
4	1,000,000,000 periods per second
5	a happening that occurs only once and is not repeated
6	a rotating pointer on the face of a timepiece
7	hit repeatedly
8	ask to obtain free
