cluster	gloss
2	piece of metal held in horse's mouth by reins and used to control the horse while riding
0	the cutting part of a drill; usually pointed and threaded and is replaceable in a brace or bitstock or drill press
6	piece of metal held in horse's mouth by reins and used to control the horse while riding
3	the cutting part of a drill; usually pointed and threaded and is replaceable in a brace or bitstock or drill press
5	the cutting part of a drill; usually pointed and threaded and is replaceable in a brace or bitstock or drill press
1	the cutting part of a drill; usually pointed and threaded and is replaceable in a brace or bitstock or drill press
7	the cutting part of a drill; usually pointed and threaded and is replaceable in a brace or bitstock or drill press
4	piece of metal held in horse's mouth by reins and used to control the horse while riding
8	the part of a key that enters a lock and lifts the tumblers
9	the cutting part of a drill; usually pointed and threaded and is replaceable in a brace or bitstock or drill press
10	piece of metal held in horse's mouth by reins and used to control the horse while riding
11	a small piece or quantity of something
12	the cutting part of a drill; usually pointed and threaded and is replaceable in a brace or bitstock or drill press
13	the cutting part of a drill; usually pointed and threaded and is replaceable in a brace or bitstock or drill press
14	the cutting part of a drill; usually pointed and threaded and is replaceable in a brace or bitstock or drill press
15	the cutting part of a drill; usually pointed and threaded and is replaceable in a brace or bitstock or drill press
16	the cutting part of a drill; usually pointed and threaded and is replaceable in a brace or bitstock or drill press
17	the cutting part of a drill; usually pointed and threaded and is replaceable in a brace or bitstock or drill press
18	piece of metal held in horse's mouth by reins and used to control the horse while riding
19	piece of metal held in horse's mouth by reins and used to control the horse while riding
