cluster	gloss
7	pull lightly but sharply with a plucking motion
5	attack with or as if with a pickaxe of ice or rocky ground, for example
8	look for and gather
0	attack with or as if with a pickaxe of ice or rocky ground, for example
9	pull lightly but sharply with a plucking motion
10	attack with or as if with a pickaxe of ice or rocky ground, for example
3	attack with or as if with a pickaxe of ice or rocky ground, for example
4	attack with or as if with a pickaxe of ice or rocky ground, for example
2	attack with or as if with a pickaxe of ice or rocky ground, for example
1	attack with or as if with a pickaxe of ice or rocky ground, for example
11	attack with or as if with a pickaxe of ice or rocky ground, for example
12	attack with or as if with a pickaxe of ice or rocky ground, for example
13	attack with or as if with a pickaxe of ice or rocky ground, for example
14	attack with or as if with a pickaxe of ice or rocky ground, for example
15	attack with or as if with a pickaxe of ice or rocky ground, for example
16	attack with or as if with a pickaxe of ice or rocky ground, for example
17	attack with or as if with a pickaxe of ice or rocky ground, for example
18	attack with or as if with a pickaxe of ice or rocky ground, for example
19	attack with or as if with a pickaxe of ice or rocky ground, for example
20	attack with or as if with a pickaxe of ice or rocky ground, for example
21	attack with or as if with a pickaxe of ice or rocky ground, for example
22	attack with or as if with a pickaxe of ice or rocky ground, for example
23	attack with or as if with a pickaxe of ice or rocky ground, for example
24	attack with or as if with a pickaxe of ice or rocky ground, for example
25	hit lightly with a picking motion
26	pull lightly but sharply with a plucking motion
27	attack with or as if with a pickaxe of ice or rocky ground, for example
28	hit lightly with a picking motion
29	attack with or as if with a pickaxe of ice or rocky ground, for example
30	attack with or as if with a pickaxe of ice or rocky ground, for example
31	remove in small bits
32	attack with or as if with a pickaxe of ice or rocky ground, for example
6	pull lightly but sharply with a plucking motion
33	attack with or as if with a pickaxe of ice or rocky ground, for example
34	pull lightly but sharply with a plucking motion
35	pull lightly but sharply with a plucking motion
36	pull lightly but sharply with a plucking motion
37	attack with or as if with a pickaxe of ice or rocky ground, for example
38	attack with or as if with a pickaxe of ice or rocky ground, for example
