cluster	gloss
1	a person who pursues a number of different social and sexual partners simultaneously
0	a person who participates in or is skilled at some game
-1	a person who participates in or is skilled at some game
3	a person who pursues a number of different social and sexual partners simultaneously
5	an important participant (as in a business deal)
6	a person who pursues a number of different social and sexual partners simultaneously
4	a person who participates in or is skilled at some game
7	a person who participates in or is skilled at some game
2	a person who participates in or is skilled at some game
8	an important participant (as in a business deal)
9	a person who pursues a number of different social and sexual partners simultaneously
10	a person who pursues a number of different social and sexual partners simultaneously
