cluster	gloss
0	give a tip or gratuity to in return for a service, beyond the compensation agreed on
1	give a tip or gratuity to in return for a service, beyond the compensation agreed on
3	give a tip or gratuity to in return for a service, beyond the compensation agreed on
4	give a tip or gratuity to in return for a service, beyond the compensation agreed on
9	give a tip or gratuity to in return for a service, beyond the compensation agreed on
6	give a tip or gratuity to in return for a service, beyond the compensation agreed on
-1	give a tip or gratuity to in return for a service, beyond the compensation agreed on
10	give a tip or gratuity to in return for a service, beyond the compensation agreed on
11	give a tip or gratuity to in return for a service, beyond the compensation agreed on
12	remove the tip from
13	give a tip or gratuity to in return for a service, beyond the compensation agreed on
7	give a tip or gratuity to in return for a service, beyond the compensation agreed on
8	give a tip or gratuity to in return for a service, beyond the compensation agreed on
14	give a tip or gratuity to in return for a service, beyond the compensation agreed on
5	give a tip or gratuity to in return for a service, beyond the compensation agreed on
15	give a tip or gratuity to in return for a service, beyond the compensation agreed on
2	give a tip or gratuity to in return for a service, beyond the compensation agreed on
16	give a tip or gratuity to in return for a service, beyond the compensation agreed on
17	cause to topple or tumble by pushing
18	give a tip or gratuity to in return for a service, beyond the compensation agreed on
19	give a tip or gratuity to in return for a service, beyond the compensation agreed on
20	remove the tip from
