cluster	gloss
-1	branch of medicine concerned with the treatment of disease / tending to cure or restore to health / treat medicinally, treat with medicine
0	tending to cure or restore to health
1	classify or group / grouping by class or kind or size
2	given medical care or treatment
3	deem to be
4	a well-substantiated explanation of some aspect of the natural world; an organized system of accepted knowledge that applies in a variety of circumstances to explain a specific set of phenomena / any branch of psychology concerned with psychological measurements / discriminatory on the basis of sex (usually said of men's attitude toward women) / interact in a certain way / of or relating to a practical subject that is organized according to scientific principles / professional care for the feet and toenails / providing physical and emotional care and nourishment / tending to cure or restore to health / treat differently on the basis of sex or race
5	discriminatory especially on the basis of race or religion / separated according to race, sex, class, or religion / treat differently on the basis of sex or race
6	attack with dogs or set dogs upon / treat differently on the basis of sex or race / unlawful premeditated killing of a human being by a human being
7	behave in a certain way towards others / treat differently on the basis of sex or race / unfair treatment of a person or group on the basis of prejudice
8	a branch of symbolic logic dealing with propositions as units and with their combinations and the connectives that relate them / the logical analysis of mathematical reasoning / using or subjected to a methodology using algebra and calculus
9	adult male horse kept for breeding / breeding dogs / tamed or trained to obey
10	a way of acting or behaving / interact in a certain way / treat differently on the basis of sex or race
11	behave in a certain manner or have certain properties / interact in a certain way / special treatment or hospitality
12	(linguistics) a distribution of related speech sounds or forms in such a way that they only appear in different contexts / a tone language that uses pitch changes / how something is done or how it happens
13	medical practice that provides health care regardless of age or sex while placing emphasis on the family unit / tending to cure or restore to health / the branch of medicine concerned with preventing disease
14	a remedy (drug or therapy or preventive) that cures or prevents a disease / remedy that prevents or slows the course of an illness or disease / the prevention of disease
15	have care of or look after / look after; be the keeper of; have charge of / special treatment or hospitality
16	deem to be / how something is done or how it happens / relating to different sense modalities
17	(medicine) a systematic plan for therapy (often including diet) / provide a cure for, make healthy again / remedy that prevents or slows the course of an illness or disease
18	a conclusive resolution of a matter and disposition of it / an important question that is in dispute and must be settled / deal with (a problem or a subject)
19	easing the severity of a pain or a disease without removing the cause / provide a cure for, make healthy again / treat medicinally, treat with medicine
20	a particular perspective or aspect of a situation / a philosophical doctrine proposed by Edmund Husserl based on the study of human experience in which considerations of objective reality are not taken into account / of or relating to or determined by sociology
21	practices one branch of medicine / tending to cure or restore to health / the branch of medicine concerned with the ear
22	give medical treatment to / given medical care or treatment / health care that is provided by a health care professional in the first contact of a patient with the health care system
23	give or apply (medications) / provide a cure for, make healthy again / treat medicinally, treat with medicine
24	a health facility where patients receive treatment / an institution created for the practice of medicine / given medical care or treatment
25	close monitoring and constant medical care of patients with life-threatening conditions / given medical care or treatment / tending to cure or restore to health
26	a special set of circumstances / a special situation / react to in a certain way
27	a subsequent examination of a patient for the purpose of monitoring earlier treatment / close monitoring and constant medical care of patients with life-threatening conditions / tending to cure or restore to health
28	a licensed medical practitioner / a subsequent examination of a patient for the purpose of monitoring earlier treatment / given medical care or treatment
29	a very disagreeable difficulty / a way of regarding situations or topics etc. / an important question that is in dispute and must be settled
30	a legislative act is referred for final approval to a popular vote by the electorate / the formal presentation of a stated proposition and the opposition to it (usually followed by a vote) / the second presentation of a bill in a legislature; to approve its general principles (Britain) or to discuss a committee's report and take a vote (US)
31	a matter already settled in court; cannot be raised again / a police investigation to determine the perpetrator / conduct a prosecution in a court of law
