cluster	gloss
-1	a unit of angular distance equal to 60 degrees / a unit of length (22 yards) / a unit of length equal to 220 yards / the back part of the human foot / the front part of the human leg between the knee and the ankle / the part of the human leg between the knee and the ankle
0	the part of the human leg between the knee and the ankle
1	a rule one meter long (usually marked off in centimeters and millimeters) / a unit of length (22 yards)
2	be in a state of movement or action
3	situated in or facing or moving toward or coming from the south
4	the part of a building above the ground floor
5	put down or press the foot, place the foot
6	firmly and solidly / stick to firmly / the basis on which something is grounded
7	a position of relative inferiority / be on the defensive; act against an attack / the state of being subject to danger or injury
8	move fast by using one's feet, with one foot off the ground at any given time / rearing on left hind leg with forelegs elevated and head usually in profile / use one's feet to advance; advance by steps
