cluster	gloss
-1	a belt-fed machine gun capable of firing more than 500 rounds per minute; used by United States troops in World War II and the Korean War / artillery fire delivered by a mortar / beat soundly / expand and contract rhythmically; beat rhythmically / intense and continuous artillery fire / move rhythmically / of or relating to the palm of the hand or to the area at the base of the thumb / relating to the palm of the hand or the sole of the foot / touching something with the fingers
0	of or relating to the palm of the hand or to the area at the base of the thumb
1	the stroke of a key; one depression of a key on a keyboard
2	a combination of points and lines and planes that form a visible palpable shape / a narrow marking of a different color or texture from the background / a severe disease chiefly of children and characterized by painful inflammation of the joints and frequently damage to the heart valves / an acute and highly contagious viral disease marked by distinct red spots followed by a rash; occurs primarily in children / an acute disease characterized by fever and swollen lymph nodes and an abnormal increase of mononuclear leucocytes or monocytes in the bloodstream; not highly contagious; some believe it can be transmitted by kissing / do forcibly; exert force / ellipse in which the two axes are of equal length; a plane curve generated by one point moving at a constant distance from a fixed point / graded markings that indicate light or shaded areas in a drawing or painting / paint with an airbrush / the act of making a visible mark on a surface / the act of pressing; the exertion of pressure / the plane that contains all the lines tangent to a specific point on a surface
3	(mechanics) the equal and opposite force that is produced when any force is applied to a body / (physics) a stress that produces an elongation of an elastic physical body / a battle in World War I (May 1918); the Germans tried to attack before the American numbers were too great to defeat; the tactical success of the Germans proved to be a strategic failure / a naval battle in World War II (1944); a decisive naval victory for the United States fleet over the Japanese who were trying to block supplies from reaching American troops on Leyte / the act of pressing; the exertion of pressure / the second great battle of the American Civil War (1862); the battle ended with the withdrawal of Confederate troops but it was not a Union victory
4	1,000,000,000 periods per second / frequency per minute / one thousand periods per second / operations that are initiated predictably by a clock / the face of a timepiece; graduated to show the hours / the sound of an alarm (usually a bell)
5	frequency per minute / many times at short intervals / operations that are initiated predictably by a clock
6	a rotating pointer on the face of a timepiece / hand marking seconds on a timepiece / the face of a timepiece; graduated to show the hours
7	frequency per minute / the complete cycle of events in the heart from the beginning of one heart beat to the beginning of the next; an electrical impulse conducted through the heart muscle that constricts the atria which is followed by constriction of the ventricles / the stroke of a key; one depression of a key on a keyboard
8	an unattended machine (outside some banks) that dispenses money when a personal coded card is used / to turn in (vouchers or coupons) and receive something in exchange / withdraw money by writing a check
