cluster	gloss
0	The upper part of the human body, including the neck and face.
1	The person in charge of something ; a leader.
2	The top or extreme point of something.
3	The topmost part of a tombstone.
4	Too few examples to generate a proper definition!
5	Too few examples to generate a proper definition!
6	Too few examples to generate a proper definition!
7	Too few examples to generate a proper definition!
8	Too few examples to generate a proper definition!
9	Too few examples to generate a proper definition!
